trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'e': 0.0301973834223185, 'a': 0.3699999999999998}",25,12,26.015120236165966,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'e': 0.02945180736910728, 'a': 0.36799999999999977}",20,8,20.33846546287067,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.028724639654239423, 'a': 0.36599999999999977}",20,10,16.037232289606724,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'e': 0.028015425774221808, 'a': 0.36399999999999977}",20,8,19.64803277104113,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'e': 0.02732372244729256, 'a': 0.36199999999999977}",20,12,13.826808518900519,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'e': 0.026649097336355485, 'a': 0.35999999999999976}",25,6,30.311561139499695,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.025991128778755333, 'a': 0.35799999999999976}",25,17,17.425190674808913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'e': 0.02534940552272493, 'a': 0.35599999999999976}",25,3,33.22264672359591,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'e': 0.024723526470339388, 'a': 0.35399999999999976}",20,13,7.341322352312976,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'e': 0.024113100426816865, 'a': 0.35199999999999976}",30,22,14.415530561472174,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'e': 0.023517745856009107, 'a': 0.34999999999999976}",20,13,11.579082692781233,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'e': 0.02293709064192892, 'a': 0.34799999999999975}",30,18,20.624689052072604,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'e': 0.02237077185616559, 'a': 0.34599999999999975}",20,6,21.596027123321207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'e': 0.021818435531042762, 'a': 0.34399999999999975}",20,8,19.106971608625013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'e': 0.02127973643837717, 'a': 0.34199999999999975}",25,18,12.695903462299201,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'e': 0.020754337873699742, 'a': 0.33999999999999975}",25,9,-15.38490225951292,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'e': 0.02024191144580438, 'a': 0.33799999999999975}",25,13,23.400206639909353,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'e': 0.019742136871492774, 'a': 0.33599999999999974}",20,7,22.786022106617928,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0.33599999999999974}",20,8,22.006572375614713,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0.33599999999999974}",20,4,28.355820515893573,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0.33599999999999974}",30,19,17.80108708431724,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0.33599999999999974}",30,19,22.79484559556759,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0.33599999999999974}",20,14,12.122915133868348,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0.33599999999999974}",20,11,17.949713284901108,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0.33599999999999974}",25,10,25.958756074108674,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0.33599999999999974}",20,16,6.7865975685826685,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0.33599999999999974}",20,2,33.12875341943133,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0.33599999999999974}",20,16,9.584146302291735,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
